id;name;symbol;cmc_rank
1;Bitcoin;BTC;1
1027;Ethereum;ETH;2
825;Tether USDt;USDT;3
52;XRP;XRP;4
1839;BNB;BNB;5
5426;Solana;SOL;6
74;Dogecoin;DOGE;7
3408;USDC;USDC;8
2010;Cardano;ADA;9
1958;TRON;TRX;10
5805;Avalanche;AVAX;11
